No.,Movie Title,IMDb Rating,Douban Rating,IMDb - Douban Rating,Release Date,Genre,Director,Star
1,The Shawshank Redemption,9.3,9.6,-0.3,1994-10-14,Drama,Frank Darabont,Tim Robbins
1,The Shawshank Redemption,9.3,9.6,-0.3,1994-10-14,Drama,Frank Darabont,Morgan Freeman
1,The Shawshank Redemption,9.3,9.6,-0.3,1994-10-14,Drama,Frank Darabont,Bob Gunton
1,The Shawshank Redemption,9.3,9.6,-0.3,1994-10-14,Drama,Frank Darabont,William Sadler
2,The Godfather,9.2,9.2,0.0,1972-03-24,Crime,Francis Ford Coppola,Marlon Brando
2,The Godfather,9.2,9.2,0.0,1972-03-24,Crime,Francis Ford Coppola,Al Pacino
2,The Godfather,9.2,9.2,0.0,1972-03-24,Crime,Francis Ford Coppola,James Caan
2,The Godfather,9.2,9.2,0.0,1972-03-24,Crime,Francis Ford Coppola,Diane Keaton
2,The Godfather,9.2,9.2,0.0,1972-03-24,Drama,Francis Ford Coppola,Marlon Brando
2,The Godfather,9.2,9.2,0.0,1972-03-24,Drama,Francis Ford Coppola,Al Pacino
2,The Godfather,9.2,9.2,0.0,1972-03-24,Drama,Francis Ford Coppola,James Caan
2,The Godfather,9.2,9.2,0.0,1972-03-24,Drama,Francis Ford Coppola,Diane Keaton
3,The Godfather: Part II,9.0,9.1,-0.1,1974-12-20,Crime,Francis Ford Coppola,Al Pacino
3,The Godfather: Part II,9.0,9.1,-0.1,1974-12-20,Crime,Francis Ford Coppola,Robert De Niro
3,The Godfather: Part II,9.0,9.1,-0.1,1974-12-20,Crime,Francis Ford Coppola,Robert Duvall
3,The Godfather: Part II,9.0,9.1,-0.1,1974-12-20,Crime,Francis Ford Coppola,Diane Keaton
3,The Godfather: Part II,9.0,9.1,-0.1,1974-12-20,Drama,Francis Ford Coppola,Al Pacino
3,The Godfather: Part II,9.0,9.1,-0.1,1974-12-20,Drama,Francis Ford Coppola,Robert De Niro
3,The Godfather: Part II,9.0,9.1,-0.1,1974-12-20,Drama,Francis Ford Coppola,Robert Duvall
3,The Godfather: Part II,9.0,9.1,-0.1,1974-12-20,Drama,Francis Ford Coppola,Diane Keaton
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Action,Christopher Nolan,Christian Bale
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Action,Christopher Nolan,Heath Ledger
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Action,Christopher Nolan,Aaron Eckhart
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Action,Christopher Nolan,Michael Caine
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Crime,Christopher Nolan,Christian Bale
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Crime,Christopher Nolan,Heath Ledger
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Crime,Christopher Nolan,Aaron Eckhart
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Crime,Christopher Nolan,Michael Caine
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Drama,Christopher Nolan,Christian Bale
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Drama,Christopher Nolan,Heath Ledger
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Drama,Christopher Nolan,Aaron Eckhart
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Drama,Christopher Nolan,Michael Caine
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Thriller,Christopher Nolan,Christian Bale
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Thriller,Christopher Nolan,Heath Ledger
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Thriller,Christopher Nolan,Aaron Eckhart
4,The Dark Knight,9.0,9.1,-0.1,2008-07-16,Thriller,Christopher Nolan,Michael Caine
5,12 Angry Men,8.9,9.4,-0.5,1957-04-10,Drama,Sidney Lumet,Henry Fonda
5,12 Angry Men,8.9,9.4,-0.5,1957-04-10,Drama,Sidney Lumet,Lee J. Cobb
5,12 Angry Men,8.9,9.4,-0.5,1957-04-10,Drama,Sidney Lumet,Martin Balsam
5,12 Angry Men,8.9,9.4,-0.5,1957-04-10,Drama,Sidney Lumet,John Fiedler
6,Schindler's List,8.9,9.5,-0.6,1993-12-25,Biography,Steven Spielberg,Liam Neeson
6,Schindler's List,8.9,9.5,-0.6,1993-12-25,Biography,Steven Spielberg,Ralph Fiennes
6,Schindler's List,8.9,9.5,-0.6,1993-12-25,Biography,Steven Spielberg,Ben Kingsley
6,Schindler's List,8.9,9.5,-0.6,1993-12-25,Biography,Steven Spielberg,Caroline Goodall
6,Schindler's List,8.9,9.5,-0.6,1993-12-25,Drama,Steven Spielberg,Liam Neeson
6,Schindler's List,8.9,9.5,-0.6,1993-12-25,Drama,Steven Spielberg,Ralph Fiennes
6,Schindler's List,8.9,9.5,-0.6,1993-12-25,Drama,Steven Spielberg,Ben Kingsley
6,Schindler's List,8.9,9.5,-0.6,1993-12-25,Drama,Steven Spielberg,Caroline Goodall
6,Schindler's List,8.9,9.5,-0.6,1993-12-25,History,Steven Spielberg,Liam Neeson
6,Schindler's List,8.9,9.5,-0.6,1993-12-25,History,Steven Spielberg,Ralph Fiennes
6,Schindler's List,8.9,9.5,-0.6,1993-12-25,History,Steven Spielberg,Ben Kingsley
6,Schindler's List,8.9,9.5,-0.6,1993-12-25,History,Steven Spielberg,Caroline Goodall
7,The Lord of the Rings: The Return of the King,8.9,9.1,-0.2,2003-12-17,Adventure,Peter Jackson,Elijah Wood
7,The Lord of the Rings: The Return of the King,8.9,9.1,-0.2,2003-12-17,Adventure,Peter Jackson,Viggo Mortensen
7,The Lord of the Rings: The Return of the King,8.9,9.1,-0.2,2003-12-17,Adventure,Peter Jackson,Ian McKellen
7,The Lord of the Rings: The Return of the King,8.9,9.1,-0.2,2003-12-17,Adventure,Peter Jackson,Orlando Bloom
